Record_ID,Clustered_Barangay,Date,Day_of_Week,Time_of_Day,Weather_Condition,Population,Commercial_Activity_Score,Distance_to_City_Center_km,Tricycle_Passenger_Count,Enumerator_Name,Remarks
1,Cluster 1 (Lagao-City Heights),2026-03-02,Monday,7:00AM-8:00AM,Windy,42000,11,6.5,39,J. Dela Cruz,
2,Cluster 1 (Lagao-City Heights),2026-03-02,Monday,8:00AM-9:00AM,Sunny,42000,11,6.5,45,J. Dela Cruz,
3,Cluster 1 (Lagao-City Heights),2026-03-02,Monday,9:00AM-10:00AM,Windy,42000,11,6.5,38,J. Dela Cruz,
4,Cluster 1 (Lagao-City Heights),2026-03-02,Monday,10:00AM-11:00AM,Rainy,42000,11,6.5,22,J. Dela Cruz,
5,Cluster 1 (Lagao-City Heights),2026-03-02,Monday,11:00AM-12:00PM,Sunny,42000,11,6.5,27,J. Dela Cruz,
6,Cluster 1 (Lagao-City Heights),2026-03-02,Monday,12:00PM-1:00PM,Sunny,42000,11,6.5,33,J. Dela Cruz,
7,Cluster 1 (Lagao-City Heights),2026-03-02,Monday,1:00PM-2:00PM,Sunny,42000,11,6.5,30,J. Dela Cruz,
8,Cluster 1 (Lagao-City Heights),2026-03-02,Monday,2:00PM-3:00PM,Windy,42000,11,6.5,29,J. Dela Cruz,
9,Cluster 1 (Lagao-City Heights),2026-03-02,Monday,3:00PM-4:00PM,Sunny,42000,11,6.5,32,J. Dela Cruz,
10,Cluster 1 (Lagao-City Heights),2026-03-02,Monday,4:00PM-5:00PM,Rainy,42000,11,6.5,25,J. Dela Cruz,
11,Cluster 1 (Lagao-City Heights),2026-03-02,Monday,5:00PM-6:00PM,Rainy,42000,11,6.5,36,J. Dela Cruz,
12,Cluster 1 (Lagao-City Heights),2026-03-02,Monday,6:00PM-7:00PM,Sunny,42000,11,6.5,41,J. Dela Cruz,
13,Cluster 2 (Calumpang-Bula),2026-03-02,Monday,7:00AM-8:00AM,Stormy,28500,7,4.0,15,J. Dela Cruz,
14,Cluster 2 (Calumpang-Bula),2026-03-02,Monday,8:00AM-9:00AM,Sunny,28500,7,4.0,30,J. Dela Cruz,
15,Cluster 2 (Calumpang-Bula),2026-03-02,Monday,9:00AM-10:00AM,Rainy,28500,7,4.0,21,J. Dela Cruz,
16,Cluster 2 (Calumpang-Bula),2026-03-02,Monday,10:00AM-11:00AM,Rainy,28500,7,4.0,17,J. Dela Cruz,
17,Cluster 2 (Calumpang-Bula),2026-03-02,Monday,11:00AM-12:00PM,Sunny,28500,7,4.0,23,J. Dela Cruz,
18,Cluster 2 (Calumpang-Bula),2026-03-02,Monday,12:00PM-1:00PM,Sunny,28500,7,4.0,24,J. Dela Cruz,
19,Cluster 2 (Calumpang-Bula),2026-03-02,Monday,1:00PM-2:00PM,Rainy,28500,7,4.0,17,J. Dela Cruz,
20,Cluster 2 (Calumpang-Bula),2026-03-02,Monday,2:00PM-3:00PM,Rainy,28500,7,4.0,16,J. Dela Cruz,
21,Cluster 2 (Calumpang-Bula),2026-03-02,Monday,3:00PM-4:00PM,Windy,28500,7,4.0,19,J. Dela Cruz,
22,Cluster 2 (Calumpang-Bula),2026-03-02,Monday,4:00PM-5:00PM,Sunny,28500,7,4.0,25,J. Dela Cruz,
23,Cluster 2 (Calumpang-Bula),2026-03-02,Monday,5:00PM-6:00PM,Sunny,28500,7,4.0,30,J. Dela Cruz,
24,Cluster 2 (Calumpang-Bula),2026-03-02,Monday,6:00PM-7:00PM,Sunny,28500,7,4.0,29,J. Dela Cruz,
25,Cluster 3 (Dadiangas Central),2026-03-02,Monday,7:00AM-8:00AM,Windy,35000,12,1.2,50,J. Dela Cruz,
26,Cluster 3 (Dadiangas Central),2026-03-02,Monday,8:00AM-9:00AM,Sunny,35000,12,1.2,52,J. Dela Cruz,
27,Cluster 3 (Dadiangas Central),2026-03-02,Monday,9:00AM-10:00AM,Sunny,35000,12,1.2,49,J. Dela Cruz,
28,Cluster 3 (Dadiangas Central),2026-03-02,Monday,10:00AM-11:00AM,Windy,35000,12,1.2,36,J. Dela Cruz,
29,Cluster 3 (Dadiangas Central),2026-03-02,Monday,11:00AM-12:00PM,Sunny,35000,12,1.2,37,J. Dela Cruz,
30,Cluster 3 (Dadiangas Central),2026-03-02,Monday,12:00PM-1:00PM,Sunny,35000,12,1.2,38,J. Dela Cruz,
31,Cluster 3 (Dadiangas Central),2026-03-02,Monday,1:00PM-2:00PM,Stormy,35000,12,1.2,19,J. Dela Cruz,
32,Cluster 3 (Dadiangas Central),2026-03-02,Monday,2:00PM-3:00PM,Windy,35000,12,1.2,35,J. Dela Cruz,
33,Cluster 3 (Dadiangas Central),2026-03-02,Monday,3:00PM-4:00PM,Rainy,35000,12,1.2,29,J. Dela Cruz,
34,Cluster 3 (Dadiangas Central),2026-03-02,Monday,4:00PM-5:00PM,Sunny,35000,12,1.2,39,J. Dela Cruz,
